3.0000	0.6978
3.1717	0.5530
3.3434	0.4427
3.5152	0.3368
3.6869	0.2277
3.8586	0.1198
4.0303	0.0238
4.2020	-0.0470
4.3737	-0.0887
4.5455	-0.1111
4.7172	-0.1237
4.8889	-0.1226
5.0606	-0.0948
5.2323	-0.0335
5.4040	0.0539
5.5758	0.1534
5.7475	0.2538
5.9192	0.3507
6.0909	0.4417
6.2626	0.5199
6.4343	0.5759
6.6061	0.6073
6.7778	0.6226
6.9495	0.6307
7.1212	0.6270
7.2929	0.5973
7.4646	0.5363
7.6364	0.4587
7.8081	0.3879
7.9798	0.3351
8.1515	0.2952
8.3232	0.2615
8.4949	0.2352
8.6667	0.2203
8.8384	0.2143
9.0101	0.2090
9.1818	0.1972
9.3535	0.1778
9.5253	0.1544
9.6970	0.1310
9.8687	0.1081
10.0404	0.0833
10.2121	0.0550
10.3838	0.0256
10.5556	0.0009
10.7273	-0.0129
10.8990	-0.0128
11.0707	0.0008
11.2424	0.0237
11.4141	0.0501
11.5859	0.0737
11.7576	0.0914
11.9293	0.1038
12.1010	0.1129
12.2727	0.1224
12.4444	0.1397
12.6162	0.1721
12.7879	0.2159
12.9596	0.2547
13.1313	0.2788
13.3030	0.3013
13.4747	0.3460
13.6465	0.4139
13.8182	0.4732
13.9899	0.4889
14.1616	0.4506
14.3333	0.3770
14.5051	0.3003
14.6768	0.2413
14.8485	0.2030
15.0202	0.1839
15.1919	0.1858
15.3636	0.2063
15.5354	0.2312
15.7071	0.2404
15.8788	0.2227
16.0505	0.1830
16.2222	0.1363
16.3939	0.0956
16.5657	0.0663
16.7374	0.0480
16.9091	0.0370
17.0808	0.0246
17.2525	0.0011
17.4242	-0.0363
17.5960	-0.0837
17.7677	-0.1365
17.9394	-0.1910
18.1111	-0.2419
18.2828	-0.2829
18.4545	-0.3107
18.6263	-0.3258
18.7980	-0.3282
18.9697	-0.3142
19.1414	-0.2783
19.3131	-0.2219
19.4848	-0.1624
19.6566	-0.1317
19.8283	-0.1668
20.0000	-0.3001
